headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
Amazon Moves Into 737 Freighter Operations Under Lease With Atlas Air,2019-04-01,ATSG,2019-04-01 15:21:00+00:00,AIR TRANSPORT SERVICES GROUP INC,90716.0,00922R10,0.01561824791133404,-0.03588210791349411,-0.042716787427705794,-0.023921377365035856,-0.02648436187719827,-0.0025629850584077962,-0.05510461295486413,-0.019649681703293287,0.04535147547721863,0.0482037052303268,0.06861379593921746,0.08931944415212567,0.14392058004474317,-0.046338471519285274,0.02308027219555453,1.19,-0.3,0.99,0.01,90716,252,1.5618%,0.0,0.9352,0.8256,0.0587,2.0869%,2.3486%,21.0432%,0.6269%,11
AstraZeneca shares are trading higher after the FDA granted Breakthrough Therapy Designation for the company's Zelumetinib and the stock was upgraded from Market Perform to Outperform by Cowen.,2019-04-01,AZN,2019-04-01 10:54:00+00:00,ASTRAZENECA PLC,79363.0,04635310,0.0207766555249691,0.007753808982670307,-0.004361529124285335,-0.017930740606842632,-0.009934573247430967,-0.03537676501848297,-0.08359585205478681,-0.007269186967440833,-0.05932990461587906,-0.05205161024179927,-0.05845361994239495,-0.05071612741087206,-0.04892961991140965,0.034360331597751426,0.09401393084060317,1.19,-0.3,0.99,0.01,79363,252,2.0777%,0.0006,0.4075,-0.0601,-0.1063,1.2869%,1.3599%,10.4474%,1.7264%,28
"Cowen & Co. Upgrades AstraZeneca to Outperform, Raises Price Target to $48",2019-04-01,AZN,2019-04-01 10:19:00+00:00,ASTRAZENECA PLC,79363.0,04635310,0.0207766555249691,0.007753808982670307,-0.004361529124285335,-0.017930740606842632,-0.009934573247430967,-0.03537676501848297,-0.08359585205478681,-0.007269186967440833,-0.05932990461587906,-0.05205161024179927,-0.05845361994239495,-0.05071612741087206,-0.04892961991140965,0.034360331597751426,0.09401393084060317,1.19,-0.3,0.99,0.01,79363,252,2.0777%,0.0006,0.4075,-0.0601,-0.1063,1.2869%,1.3599%,10.4474%,1.7264%,12
"Citigroup Maintains Buy on AutoZone, Raises Price Target to $1.206K",2019-04-01,AZO,2019-04-01 12:20:00+00:00,AUTOZONE INC,76605.0,05333210,0.005458311177790165,0.011915995739400387,0.015363616018914117,0.01066317812561901,0.02217136772547712,0.03387362186650256,-0.0387584593311906,0.05524858725650339,0.01885254494845867,0.020853252340427453,0.02688231114321682,0.04366787371463743,0.06431935793859411,0.13167429689954036,0.22140065486606364,1.19,-0.3,0.99,0.01,76605,252,0.5458%,0.0019,0.3019,0.2594,0.0771,1.5594%,1.5941%,4.3007%,0.1647%,10
This Analyst Loves Alibaba's 'Super App',2019-04-01,BABA,2019-04-01 16:31:00+00:00,ALIBABA GROUP HOLDING LTD,14888.0,01609W10,-0.008550274185836315,0.00469902204349637,-0.014207484956500704,0.0009951240623591318,0.03101332656919742,0.012051566853918061,-0.03344576048855341,-0.06578580508125353,0.02655714564025402,0.030616270502478837,0.024539506256914034,0.0351185904952509,0.008178128868129964,0.08356094755369625,0.3346744795223542,1.19,-0.3,0.99,0.01,14888,252,-0.8550%,-0.0008,1.1734,0.2281,-0.8654,1.5423%,2.1736%,49.6491%,-1.3803%,6
BBVA shares are trading higher after analysts at Deutsche Bank upgraded the company's stock from Hold to Buy.,2019-04-01,BBVA,2019-04-01 15:15:00+00:00,BANCO BILBAO VIZCAYA ARGENTARIA,75381.0,05946K10,0.04537517577409744,0.003338974667713046,0.018363962904741404,0.03338903107607538,0.04008938693835229,0.06759585682672098,-0.0218002507479631,-0.045868412933540714,0.007029870059341192,-0.00865055177381946,-0.01036268451181932,-0.017152642652304984,-0.057565773843263224,0.0017482926324638992,0.07909606130685432,1.19,-0.3,0.99,0.01,75381,252,4.5375%,-0.0006,1.0853,0.2559,0.9781,1.5935%,1.8857%,28.5936%,2.4077%,18
Deutsche Bank Earlier Upgraded BBVA to Buy,2019-04-01,BBVA,2019-04-01 15:14:00+00:00,BANCO BILBAO VIZCAYA ARGENTARIA,75381.0,05946K10,0.04537517577409744,0.003338974667713046,0.018363962904741404,0.03338903107607538,0.04008938693835229,0.06759585682672098,-0.0218002507479631,-0.045868412933540714,0.007029870059341192,-0.00865055177381946,-0.01036268451181932,-0.017152642652304984,-0.057565773843263224,0.0017482926324638992,0.07909606130685432,1.19,-0.3,0.99,0.01,75381,252,4.5375%,-0.0006,1.0853,0.2559,0.9781,1.5935%,1.8857%,28.5936%,2.4077%,7
"Deutsche Bank Initiates Coverage On Peabody Energy with Buy Rating, Announces $33 Price Target",2019-04-01,BTU,2019-04-01 11:46:00+00:00,PEABODY ENERGY CORP NEW,16689.0,70455110,0.01200141757726669,-0.019532592967152596,-0.04987793004982166,-0.021974157445971865,-0.020579005361423763,-0.022322963877966173,-0.008719915681649204,-0.19353429049997717,-0.0010578520596027374,0.006394327063123484,-0.0017617777379366206,-0.021416263065119123,-0.03737683854564411,-0.019237604817032072,-0.028368274099962787,1.19,-0.3,0.99,0.01,16689,252,1.2001%,-0.0006,0.9163,0.2644,0.3254,2.0744%,2.2539%,15.2923%,-0.1349%,14
CACI International Wins a $71M US Army Contract to Provide Sensor Systems,2019-04-01,CACI,2019-04-01 12:07:00+00:00,CACI INTERNATIONAL INC,20512.0,12719030,0.02131628058850765,-0.022592775523662567,-0.017482517571636658,-0.017536280384726655,-0.00903707729349612,0.00505649611420278,0.06681019039414249,0.08117274454892964,-0.0029033073224127293,0.0031966591060259564,-0.00714557137225158,0.009707660245825478,-0.008389591649014871,0.021379256160465987,0.2824632826661453,1.19,-0.3,0.99,0.01,20512,252,2.1316%,0.0006,0.7998,0.3579,-0.0832,1.1495%,1.4486%,37.0357%,1.3903%,12
"Cal-Maine Foods Q3 EPS $0.82 Beats $0.42 Estimate, Sales $383.992M Beat $370.76M Estimate",2019-04-01,CALM,2019-04-01 10:31:00+00:00,CAL MAINE FOODS INC,20598.0,12803020,-0.03047278895974159,-0.02935059927403927,-0.03512827438597799,-0.031199497525554953,-0.017333024816102882,-0.033048308582669605,-0.00827230138512658,-0.054334237914828054,-0.011079104617238045,0.0033723360251387557,0.00904366952857849,0.01848474104094966,0.006994614523105458,0.025741271501237284,0.05583146952770068,1.19,-0.3,0.99,0.01,20598,252,-3.0473%,0.0002,0.4922,0.6301,0.3519,1.5399%,1.6387%,11.6891%,-3.8618%,13
China Strength Appears To Give Markets An Early Boost Despite Weak Retail Sales Data,2019-04-01,CAT,2019-04-01 14:02:00+00:00,CATERPILLAR INC,18542.0,14912310,0.03513170033693314,-0.00042779007344517783,-0.007058862502950625,-0.0008555797691430778,-0.003065901033245888,4.78705963757875e-11,-0.08567073836474859,-0.03058293813869828,0.02357037551701069,0.03269823715450082,0.02768514367807451,0.044077992863728044,0.021255805280046225,0.021640862962955865,0.07883384485597311,1.19,-0.3,0.99,0.01,18542,252,3.5132%,-0.0003,1.6231,0.1153,0.3391,1.3297%,2.0566%,58.2002%,1.3132%,14
"Disney's 'Dumbo' Flies Off With Weekend Box Office, But Not Quite As High As Expected",2019-04-01,CMCSA,2019-04-01 13:38:00+00:00,COMCAST CORP NEW,89525.0,20030N10,0.008254173211753368,-0.001984642120078206,0.004249836503042559,0.007741129343317388,0.015222484603195197,0.04190604590259284,0.0700859148857591,0.05013560193284494,-0.01088566705584526,-0.005719959118809181,0.00883165375362549,0.013177913062882407,-0.012107775934605991,0.07300057300741414,0.1632237625049453,1.19,-0.3,0.99,0.01,89525,252,0.8254%,0.0007,0.8784,-0.0058,0.2971,1.4313%,1.6522%,24.9489%,-0.5569%,15
"Global Cord Blood to Increase its Processing Fee from RMB 3,000 to RMB 9,800",2019-04-01,CO,2019-04-01 11:03:00+00:00,GLOBAL CORD BLOOD CORP,93123.0,G3934210,0.05555553734302521,0.005398105829954147,0.013495328750729563,0.018893434280018218,0.006747664496709049,-0.043184844403586164,-0.14439942262784156,-0.2213225234763171,0.015918977558612823,0.011527366462285471,0.007173628617845207,-0.005665716894917128,0.004291875447698379,0.04464288640596337,0.13225809653072584,1.19,-0.3,0.99,0.01,93123,252,5.5556%,-0.0011,0.3062,0.1927,0.1673,2.1160%,2.1376%,2.0090%,5.2172%,14
Compass Diversified Holdings Promotes Pat Maciariello COO,2019-04-01,CODI,2019-04-01 20:47:00+00:00,COMPASS DIVERSIFIED HOLDINGS,91271.0,20451Q10,0.009560266509652138,0.010732327587902546,0.004419172447099884,0.0006313273656577412,0.03219698252071379,0.04797981031962606,0.06996319095360026,0.2248432441692385,0.0031968820840120316,-0.0038095506108879462,0.0012762924799094577,-0.009469733002109959,-0.037423294222266645,-0.007590186067104043,0.2527899377073364,1.19,-0.3,0.99,0.01,91271,252,0.9560%,0.0002,0.8185,0.1983,0.3611,1.3639%,1.5675%,24.2972%,-0.3189%,7
Cirrus Logic shares are trading lower following a report Cirrus is not a supplier for Apple's AirPods 2.,2019-04-01,CRUS,2019-04-01 14:09:00+00:00,CIRRUS LOGIC INC,75603.0,17275510,-0.03660567849874496,0.010362743400037289,0.05206021708470221,0.05600790653636989,0.071058501816605,0.10362696243009695,0.12830004011752916,0.040710617340740995,0.010812127962708473,0.006941142020148172,-0.010583272710703251,0.006459341390974593,0.016920494909056005,0.07376210694084162,0.22796269664139013,1.19,-0.3,0.99,0.01,75603,252,-3.6606%,-0.0001,1.2179,0.7657,-0.0489,2.0739%,2.4822%,30.1886%,-4.9952%,18
Catalent Announces the First Patient Has Been Dosed in its Phase 1 Clinical Trial of its B-Cell Lymphona Treatment,2019-04-01,CTLT,2019-04-01 12:44:00+00:00,CATALENT INC,14763.0,14880610,0.003449110314249992,-0.009575236588716507,-0.008593137059354827,-0.019396045535722717,-0.01497669119666134,0.09035110051561501,0.08003933344992853,0.30051563352414745,0.0014804188394919038,0.016020009679606817,-0.0068509617692609215,-0.0019670032969060225,-0.03815167276454068,-0.023809565117711262,0.3131672669113297,1.19,-0.3,0.99,0.01,14763,252,0.3449%,-0.0003,1.0097,0.7319,-0.2881,1.5590%,1.9913%,38.7099%,-0.3719%,19
Cenovus Energy Option Alert: Apr 18 $9 Calls at the Bid: 10000 @ $0.3 vs 44105 OI; Earnings 4/24 Before Open [est] Ref=$9.01,2019-04-01,CVE,2019-04-01 16:14:00+00:00,CENOVUS ENERGY INC,93094.0,15135U10,0.05184329301118851,-0.0032858415506779037,-0.01971525795340867,-0.01642941639259521,0.05585982522296096,0.07119382098731708,-0.019715257662816676,-0.01203434384409019,0.008130157366394997,0.008130157366394997,-0.004587150964248221,-0.007999963813341449,-0.010262275615593563,0.04269970944692458,0.20068442640339756,1.19,-0.3,0.99,0.01,93094,252,5.1843%,0.0006,1.5343,0.5092,0.7401,2.2991%,2.7215%,28.6371%,2.8185%,23
Curtiss-Wright Issues a Response to a Media Report on a Potential Issue with a Reactor Coolant Pump at a Nuclear Reactor in China,2019-04-01,CW,2019-04-01 12:33:00+00:00,CURTISS WRIGHT CORP,18091.0,23156110,-0.007058368064463139,-0.004798301961272955,-0.02230320034788691,-0.0005331218167057283,0.005953422847815526,-0.0018659942357157622,0.0029323074815073014,0.07697076389484536,0.001944780582562089,0.007466633860097938,0.01376614010913424,0.005324801901147369,0.011056713331152768,-0.039188001497521774,0.1016416209037545,1.19,-0.3,0.99,0.01,18091,252,-0.7058%,-0.0009,1.0039,0.4431,0.1702,1.1250%,1.5234%,45.4637%,-2.0136%,23
Cyclacel Pharma Give an Updated From Phase 1 Data,2019-04-01,CYCC,2019-04-01 11:05:00+00:00,CYCLACEL PHARMACEUTICALS INC,90098.0,23254L60,-0.04855617508292198,-0.010791349224746227,-0.02821492170903228,-0.03349820104998413,-0.05249550753008381,-0.16816543958405306,-0.2232464012676615,-0.385116900049696,0.03888892009854317,0.03888892009854317,0.01608347484835182,-0.01578945786616681,0.08569441482553208,0.16583543470159823,0.3492063164394612,1.19,-0.3,0.99,0.01,90098,252,-4.8556%,-0.0011,0.5552,0.2574,0.2301,3.6531%,3.6932%,2.1610%,-5.8428%,9
Cytokinetics Option Alert: May 17 $10 Calls at the Ask: 1200 @ $0.35 vs 72 OI; Earnings 4/25 After Close [est] Ref=$8.05,2019-04-01,CYTK,2019-04-01 15:46:00+00:00,CYTOKINETICS INC,90126.0,23282W60,-0.004944371059536934,0.06898747816331885,0.14508478567771532,0.11730324637740241,0.08831378657341538,0.296071717476986,0.15233221866733127,0.470008732348973,-0.03718960946472949,-0.09659705272893127,-0.07595345459500691,-0.08786391148377581,0.02189974802402994,-0.007945463494417937,0.16648172632479596,1.19,-0.3,0.99,0.01,90126,252,-0.4944%,0.0003,1.2571,1.3721,-1.0865,3.7095%,4.2030%,22.1056%,-0.4979%,22
"Deutsche Bank Executive Says Commerzbank Deal will Not Hurt Revenue, Harm Clients",2019-04-01,DB,2019-04-01 08:43:00+00:00,DEUTSCHE BANK A G,89199.0,D1819089,0.05295570194721222,-0.0058479756116867065,0.004678357460416782,-0.005847975737515609,-0.0269006417306884,0.010526333735367821,-0.10175442480702901,-0.12324507588073064,-0.008546971715986729,-0.04018914496311565,-0.01932365544835868,-0.01096226125695765,-0.0855856131614573,-0.026378931121240123,-0.00975608779265924,1.19,-0.3,0.99,0.01,89199,252,5.2956%,-0.0012,1.4468,0.5558,1.5645,1.9083%,2.3567%,34.4325%,2.2441%,12
"3D Systems Issues Release Highlighting 3 Global Manufacturing Leaders, Nokia, rms, GF Precicast, Integrated Co.'s Additive Manufacturing Solutions, No Terms Disclosed",2019-04-01,DDD,2019-04-01 13:09:00+00:00,3 D SYSTEMS CORP DEL,78664.0,88554D20,0.01765795238316059,-0.0027397016528993845,0.024657576233118927,0.013698681957298176,0.00730592870501523,-0.00547940378125189,-0.2237442834253991,-0.19543374326473095,0.009380899369716644,0.011278184814570436,-0.0009285260401583617,-0.012843980863668891,-0.04355553523028233,-0.19940472321000158,0.02966511007564754,1.19,-0.3,0.99,0.01,78664,252,1.7658%,0.0007,1.1264,2.062,0.3687,3.9615%,4.2644%,13.7008%,0.6689%,21
