headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,headline_word_count
PreMarket Prep Recap: Yo-Yo Market And After-Hours Overshoot On Ackman's New Stake,2019-12-10,A,2019-12-10 17:58:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,0.0160499569028616,0.005908571649342775,0.022669688909134678,0.009405508232547932,0.012299489676979691,0.02857835259114827,0.0665274985125941,-0.14506210875238956,-0.007176698185503483,0.0011039365345755225,0.008525916578023374,0.015805902209908185,0.03159757180269862,0.08263699897083732,0.04999590016975275,12
UPDATE: Bill Ackman's Pershing Square Files Amended 13F Showing New ~2.916M Share Stake In Agilent,2019-12-09,A,2019-12-09 21:12:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,-0.007176698185503483,0.016049956902861595,0.022053360872533734,0.03908349334198924,0.03467280232943626,0.04459690365981683,0.09359026753308397,-0.03545022590620128,0.00834049191325903,0.015816122299737057,0.026342080120802525,0.017828432285504237,0.04993608999340182,0.09613332031724386,0.06208510492157848,15
Hearing Pershing Square Reports 2.9M Share Stake In Agilent,2019-12-09,A,2019-12-09 21:09:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,-0.007176698185503483,0.016049956902861595,0.022053360872533734,0.03908349334198924,0.03467280232943626,0.04459690365981683,0.09359026753308397,-0.03545022590620128,0.00834049191325903,0.015816122299737057,0.026342080120802525,0.017828432285504237,0.04993608999340182,0.09613332031724386,0.06208510492157848,9
Applied Optoelectronics to Participate in Raymond James Technology Investors Conference Tuesday Dec. 10 At 3:35 p.m. ET,2019-12-03,AAOI,2019-12-03 21:11:00+00:00,APPLIED OPTOELECTRONICS INC,14145.0,03823U10,-0.0336134135723114,0.0038647304754704237,0.01062798577906876,0.0019323191941813533,-0.006763347278650245,0.08599027739249121,0.38599031359203595,-0.12753628799376826,0.000934600830078125,0.0028089637210055862,0.015165861785704005,0.04589846344327442,-0.014265969166931236,-0.012903264306934115,0.03980580003196943,17
"Advance Auto Parts Announces Purchase Of DieHard Brand From Transformco , Utilizing $200M Cash On Hand",2019-12-23,AAP,2019-12-23 16:42:00+00:00,ADVANCE AUTO PARTS INC,89217.0,00751Y10,0.01170001365244389,0.003750741481781006,-0.004375801381749533,-0.010126868188209515,0.0011877379338949279,-0.042570465852930006,-0.1600300434447849,-0.5296106555036423,0.010480568744242191,0.0009531423951822937,0.001269959178399338,0.019139340610525135,0.023028255043178847,-0.06556814490773111,-0.013713562712265537,16
'Advance Auto Parts to buy DieHard brand from Sears for $200 million in cash deal' -CNBC,2019-12-23,AAP,2019-12-23 15:02:00+00:00,ADVANCE AUTO PARTS INC,89217.0,00751Y10,0.01170001365244389,0.003750741481781006,-0.004375801381749533,-0.010126868188209515,0.0011877379338949279,-0.042570465852930006,-0.1600300434447849,-0.5296106555036423,0.010480568744242191,0.0009531423951822937,0.001269959178399338,0.019139340610525135,0.023028255043178847,-0.06556814490773111,-0.013713562712265537,16
"Advance Auto Parts shares are trading higher in sympathy with AutoZone, which reported strong Q1 results.",2019-12-10,AAP,2019-12-10 15:46:00+00:00,ADVANCE AUTO PARTS INC,89217.0,00751Y10,0.03034895099699497,-0.0017289125826209784,-0.00032018353412077705,-0.006147092721681124,0.011589918685468437,0.028568722672849045,-0.09243568478726549,-0.1649485406071841,-0.019725700840353966,-0.004727729477530751,-0.004989131648295397,-0.03181089390462555,-0.039906175056530935,-0.08450103148183208,-0.03420685035342752,16
"Cowen & Co. Maintains Outperform on AbbVie, Raises Price Target to $98",2019-12-26,ABBV,2019-12-26 13:27:00+00:00,ABBVIE INC,13721.0,00287Y10,-0.0002225558564532548,-0.007013301365077496,-0.014583158553995945,-0.014360468224966172,-0.012579370606161211,-0.008571794246145625,0.06888153786823192,-0.2386404940763407,-0.004432149697095156,0.006271671879316543,0.012166293620768487,-0.0025533234580238373,0.03800832928961473,0.04891424969598601,0.2038524558528414,12
AbbVie shares are trading higher. Not seeing any news to justify the price action.,2019-12-20,ABBV,2019-12-20 16:44:00+00:00,ABBVIE INC,13721.0,00287Y10,0.005857883021235466,0.010751473717391491,0.006271671879316321,0.006047720225556663,-0.008623633191378932,-0.004479802043008352,-0.01681048484857295,-0.19351901938279448,-0.006268948782235384,-0.014542686484981138,-0.007380115268394549,0.00045072983780913844,0.023639245169836842,0.08150578143472553,0.24927198609478585,14
Abbvie Reaches An Agreement With The Pan-Canadian Pharmaceutical Alliance For The Combination Venclexta With Rituximab As A Treatment For Patients With Chronic Lymphocytic Leukemia,2019-12-18,ABBV,2019-12-18 19:58:00+00:00,ABBVIE INC,13721.0,00287Y10,-0.008325932547450066,-0.006268948782235384,-0.0004477885296324535,0.010298870801151772,0.005597223596176759,-0.007052556559966505,-0.06637112893864827,-0.17164550176566595,0.007268271408975124,0.02550097439409349,0.01521467862398862,0.040665484884125025,0.04805125088184381,0.08543202826244856,0.2531064702902326,24
