headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
Loop Capital Downgrades American Eagle Outfitters to Hold,2019-11-25,AEO,2019-11-25 13:12:00+00:00,AMERICAN EAGLE OUTFITTERS INC NE,80432.0,02553E10,0.01366118900477886,-0.001347739715129248,0.010781660730928788,0.008760115434700566,0.0033692854050570986,0.018867907177632537,-0.024368707142854884,-0.04069725160428794,0.019498655572533607,0.013148825885352267,-0.039370042558727114,-0.11594197846684229,-0.10128916248421005,-0.026595718029756132,-0.12805874534828765,0.92,1.32,-0.38,0.006,80432,252,1.3661%,-0.0008,1.3733,0.8721,0.8877,2.3429%,2.8006%,30.0154%,-0.7801%,8
"BMO Capital Maintains Outperform on Alnylam Pharmaceuticals, Raises Price Target to $143",2019-11-25,ALNY,2019-11-25 15:43:00+00:00,ALNYLAM PHARMACEUTICALS INC,90178.0,02043Q10,0.0515386238694191,0.059064220637083054,0.04572139920659257,0.04198542527108429,0.08850742763582553,0.08379290698125508,0.05016900840563698,0.08779578877395489,-0.038579076528549194,-0.012013634460882994,0.0916981879071126,0.16143400608217373,0.14919923814744473,0.3538052706440753,0.29760897891495985,0.92,1.32,-0.38,0.006,90178,252,5.1539%,0.0014,1.2676,1.3671,-0.5057,2.3779%,2.8832%,31.9807%,2.0445%,12
Applied Materials shares are trading higher amid strength in the semiconductors space. Nomura analyst said recent data points indicate a recovery in semiconductor equipment demand 'may have begun.',2019-11-25,AMAT,2019-11-25 14:57:00+00:00,APPLIED MATERIALS INC,14702.0,03822210,0.04183053597807884,-0.012182551436126343,0.00017162233134726534,-0.006520199933485182,-0.05044610013284434,-0.02848318377213055,0.06331507272475512,0.051421654970983166,-0.008858965709805489,-0.06219619008308863,-0.07881623340179522,-0.09544092429702555,0.0019085946152130884,0.0847717393154439,0.18657653681616204,0.92,1.32,-0.38,0.006,14702,252,4.1831%,0.0012,1.6032,-0.0866,0.0059,1.8291%,2.4138%,42.5825%,2.8972%,28
Ambarella shares are trading higher after the company reported better-than-expected Q3 EPS and sales results.,2019-11-25,AMBA,2019-11-25 21:11:00+00:00,AMBARELLA INC,13634.0,G037AX10,0.060489721596241,-0.0730656236410141,-0.04868166758234316,-0.0566947668578911,-0.11252798545906872,-0.09495086155360788,0.08150955607683641,0.11304492950218181,0.004958685953170061,-0.01618118974306537,-0.03509077747368905,-0.06285319950872881,-0.02459888377596542,0.02089557182976276,0.1551615451287116,0.92,1.32,-0.38,0.006,13634,252,6.0490%,0.0018,1.6091,0.4511,0.3992,2.4406%,2.9369%,30.9413%,4.1736%,15
Ambarella Sees FY20 Sales $55M-$59M vs $55.7M Estimate,2019-11-25,AMBA,2019-11-25 21:07:00+00:00,AMBARELLA INC,13634.0,G037AX10,0.060489721596241,-0.0730656236410141,-0.04868166758234316,-0.0566947668578911,-0.11252798545906872,-0.09495086155360788,0.08150955607683641,0.11304492950218181,0.004958685953170061,-0.01618118974306537,-0.03509077747368905,-0.06285319950872881,-0.02459888377596542,0.02089557182976276,0.1551615451287116,0.92,1.32,-0.38,0.006,13634,252,6.0490%,0.0018,1.6091,0.4511,0.3992,2.4406%,2.9369%,30.9413%,4.1736%,8
"Ambarella Q3 Adj. EPS $0.32 Beats $0.2 Estimate, Sales $67.9M Beat $65.03M Estimate",2019-11-25,AMBA,2019-11-25 21:06:00+00:00,AMBARELLA INC,13634.0,G037AX10,0.060489721596241,-0.0730656236410141,-0.04868166758234316,-0.0566947668578911,-0.11252798545906872,-0.09495086155360788,0.08150955607683641,0.11304492950218181,0.004958685953170061,-0.01618118974306537,-0.03509077747368905,-0.06285319950872881,-0.02459888377596542,0.02089557182976276,0.1551615451287116,0.92,1.32,-0.38,0.006,13634,252,6.0490%,0.0018,1.6091,0.4511,0.3992,2.4406%,2.9369%,30.9413%,4.1736%,13
"Imperial Capital Maintains Underperform on AMC Networks, Lowers Price Target to $35",2019-11-25,AMCX,2019-11-25 11:26:00+00:00,A M C NETWORKS INC,12880.0,00164V10,-0.02661982364952564,-0.010061903856694698,0.003612054074969784,-0.008513880517929895,-0.04876159593463514,-0.07352937414696126,0.032378771867414,-0.11609907088462001,0.03107200376689434,0.02549569440953192,-0.010683236359031456,0.00428746985876427,-0.03839652789129511,-0.1772727624778243,-0.18133223737255244,0.92,1.32,-0.38,0.006,12880,252,-2.6620%,-0.0015,0.6446,0.7671,0.4271,1.5076%,1.7201%,23.1819%,-4.2330%,12
"Amedisys To Buy Asana Hospice, No Terms Disclosed",2019-11-25,AMED,2019-11-25 21:42:00+00:00,AMEDISYS INC,80795.0,02343610,0.02879279293119907,-0.001469717943109683,0.010594714897924407,-0.0020208625195161645,0.007838900734446597,0.023026578269649933,0.05738263571610491,0.17386245684559287,0.007298304699361324,0.02558805239155615,0.02964649783125206,0.038403630919966014,0.0634505940305552,0.22064141394570003,0.22800774976647809,0.92,1.32,-0.38,0.006,80795,252,2.8793%,0.0006,1.1362,0.7421,-0.489,1.8868%,2.3163%,33.6491%,0.6415%,8
Amedisys To Acquire Asana Hospice; Terms Not Disclosed,2019-11-25,AMED,2019-11-25 21:32:00+00:00,AMEDISYS INC,80795.0,02343610,0.02879279293119907,-0.001469717943109683,0.010594714897924407,-0.0020208625195161645,0.007838900734446597,0.023026578269649933,0.05738263571610491,0.17386245684559287,0.007298304699361324,0.02558805239155615,0.02964649783125206,0.038403630919966014,0.0634505940305552,0.22064141394570003,0.22800774976647809,0.92,1.32,-0.38,0.006,80795,252,2.8793%,0.0006,1.1362,0.7421,-0.489,1.8868%,2.3163%,33.6491%,0.6415%,8
TD Ameritrade Holding shares are trading higher after the company announced Charles Schwab would acquire the company for an all-stock deal valued at $26 billion.,2019-11-25,AMTD,2019-11-25 14:01:00+00:00,A M T D IDEA GROUP,18887.0,00180G20,0.0,0.0,0.0,-0.050000011920928955,0.004999995478139674,0.0625000005696561,0.0624999982584431,0.062499999105220416,-0.024390220642089844,5.81508174946066e-10,5.81508174946066e-10,-1.818670769537789e-10,-0.05882352892464027,-0.08571428634722866,-0.04534607303342042,0.92,1.32,-0.38,0.006,84597,252,7.5836%,0.0001,1.3531,0.2652,1.1696,2.2081%,2.6294%,29.4772%,6.6238%,25
